,pais,popData2019,tasaCasos_max,tasaCasos_sum,tasaMuertes_sum,tasaMuertes_max,incidencia14dias_max,incidencia14dias_media,continente,che_2020,che_medio,codigo_pais,pais_cod,continente_cod,region,gasto_medio,gasto_2020,region_cod
39,Central_African_Republic,4745179.0,4.551988449750789e-05,0.001040213656850458,1.3276632978439802e-05,1.475181442048867e-06,28.97677833,5.564025898850575,Africa,9.4,5.213333333333334,CAF,39,0,AFR,20.393333333333334,41.96,0
40,Chad,15946882.0,5.2047792164010495e-06,0.00011099348449433563,6.396234699673579e-06,6.270818333013313e-07,2.52086897,0.5883589194941634,Africa,5.41,4.778095238095238,TCD,40,0,AFR,31.40952380952381,34.8,0
41,Chile,18952035.0,0.0019089770570812053,0.03017718150056181,0.0008382213308491674,5.577237483995782e-05,575.15195598,152.40137412492646,America,9.75,7.542380952380954,CHL,41,1,AMR,858.937619047619,1278.18,1
42,China,1433783692.0,1.0560170327282534e-05,6.418053191248042e-05,3.3052405508877833e-06,8.997173054748345e-07,3.81856763,0.2662052264391691,Asia,5.59,4.553809523809524,CHN,42,2,WPR,241.98619047619047,583.43,5
43,Colombia,50339443.0,0.00025935924638657604,0.028323197775549484,0.0007757932482486944,7.946055342725982e-06,310.81790079,143.4577694974436,America,8.99,6.867619047619046,COL,43,1,AMR,371.742380952381,477.27,1
44,Comoros,850891.0,5.171050111001292e-05,0.0007380498794792753,8.226670631138418e-06,2.3504773231824054e-06,12.45752981,4.6938153456542056,Africa,5.35,5.578571428571429,COM,44,0,AFR,68.99,80.82,0
45,Congo,5380504.0,0.00012062067047994017,0.0011242441228554055,1.8399763293550196e-05,2.9736991181495267e-06,24.04979162,5.851336930842912,Africa,4.47,2.146666666666667,COG,45,0,AFR,48.05142857142857,80.81,0
46,Costa_Rica,5047561.0,0.0005699782528631155,0.029904938246412476,0.0003754288457336127,1.0302005265513383e-05,335.01328662,150.2066688092565,America,7.86,7.287619047619048,CRI,46,1,AMR,603.462380952381,953.08,1
47,Cote_dIvoire,25716554.0,2.4031213513287977e-05,0.0008430367459030475,5.171766014995633e-06,1.5554183503746264e-07,15.27809675,4.444164376159696,Africa,3.72,4.432380952380952,CIV,47,0,AFR,68.12190476190476,85.17,0
48,Croatia,4076246.0,0.001133395776407999,0.04314901504963145,0.0006476547293759994,1.9135253367927254e-05,1208.80830058,155.8987697326048,Europe,7.77,7.079047619047618,HRV,48,3,EUR,862.3628571428571,1094.53,3
49,Cuba,11333484.0,1.0941031019234686e-05,0.0008314301233407133,1.2088074593831871e-05,5.294047267371622e-07,10.49986041,4.163808588358779,America,12.49,10.055238095238096,CUB,49,1,AMR,630.1638095238095,1186.16,1
50,Curaçao,163423.0,0.0010524834325645717,0.02217558116054656,6.730998696633889e-05,1.8357269172637878e-05,848.71774475,103.27233681138341,America,,,CUW,50,1,,,,6
51,Cyprus,875899.0,0.0004840740770339959,0.017240572257760312,8.905136322795208e-05,5.708420719740518e-06,538.64657911,76.76856513577358,Europe,8.09,6.262380952380952,CYP,51,3,EUR,1658.5033333333333,2245.36,3
